"","name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"1","AAAS",0.507996962484782,0.240707057383542,FALSE,0.346731319793344,1,FALSE
"2","AACS",0.289372519789588,0.377450375430199,FALSE,0.361798767882286,1,FALSE
"3","AAGAB",0.0902297034808871,0.91276854123173,FALSE,0.399738569456506,1,FALSE
"4","AAK1",-0.0621893778876944,0.989322189063854,FALSE,0.86330684553425,1,FALSE
"5","AAMDC",-0.197734222760407,0.888778742549093,FALSE,0.240059464960801,1,FALSE
"6","AAMP",-0.0311144135828152,1,FALSE,-0.13607534200571,1,FALSE
"7","AAR2",-0.0903011478144396,0.985006426003101,FALSE,0.345528572711687,1,FALSE
"8","AARS2",0.0533431712891278,0.980253660777434,FALSE,-0.293372735120273,1,FALSE
"9","AASDH",0.0199688088764681,0.46123751512836,FALSE,0.545954576675611,1,FALSE
"10","AASDHPPT",-0.155656107167383,0.892681368741,FALSE,0.051275436267173,1,FALSE
"11","AATF",-0.306243962795035,0.917459242347063,FALSE,0.560002351161244,1,FALSE
"12","AATK",0.273733782104652,0.286800406952737,FALSE,-1.39290840867119,1,FALSE
"13","ABAT",0.342927655919069,0.654365973604571,FALSE,-0.137030705950886,1,FALSE
"14","ABCA1",-0.205826465538213,0.874004860012491,FALSE,0.010744083650629,1,FALSE
"15","ABCA2",0.15800832964535,0.615718730234651,FALSE,-0.732256976353485,1,FALSE
"16","ABCA5",-0.396499823903247,0.896773371036444,FALSE,-0.0709803137838252,1,FALSE
"17","ABCA7",0.156896437673521,0.988888725309954,FALSE,0.398341777951032,1,FALSE
"18","ABCB1",0.637781832695268,0.0962582855376209,FALSE,-1.68569015789903,1,FALSE
"19","ABCB10",0.0735280878311739,0.839650533155896,FALSE,0.223418262959304,1,FALSE
"20","ABCB7",-0.613084281519536,0.967889933216536,FALSE,-0.612860409283247,1,FALSE
"21","ABCB8",0.0634490622319212,0.96008267048438,FALSE,0.785698835870926,1,FALSE
"22","ABCC1",-0.13756975354211,0.865490162646644,FALSE,-0.472922155450985,1,FALSE
"23","ABCC10",-0.124026437943653,0.820314010300251,FALSE,0.109475355150657,1,FALSE
"24","ABCC3",0.155636276916056,0.663636666397057,FALSE,-0.770850809175023,1,FALSE
"25","ABCC4",0.00790702822790342,0.794725923063328,FALSE,-0.282646328527214,1,FALSE
"26","ABCC5",-0.0779767979845852,0.954702329213255,FALSE,-0.573685132385902,1,FALSE
"27","ABCC6",1.00585580537075,0.378530194197546,FALSE,-1.31539904145027,1,FALSE
"28","ABCD1",-0.409450661773104,0.401022253958519,FALSE,-0.341668292161054,1,FALSE
"29","ABCD3",0.131114858671741,0.75336009952736,FALSE,0.399537678967997,1,FALSE
"30","ABCD4",-0.681604209891465,0.928274846235489,FALSE,-0.367373316564049,1,FALSE
"31","ABCE1",-0.519406983865117,0.74172124139669,FALSE,-0.120822264271137,1,FALSE
"32","ABCF1",-0.322351195315825,0.89823921518138,FALSE,0.655467408468382,1,FALSE
"33","ABCF2",0.070978982476938,0.823669449782926,FALSE,0.462004896159813,1,FALSE
"34","ABCF3",0.137560823088453,0.930691386344766,FALSE,0.706627264879727,1,FALSE
"35","ABCG1",-0.0236846750877317,0.920574036707228,FALSE,-2.74403414412984,1,FALSE
"36","ABHD10",-0.0761048692916489,0.978694718946975,FALSE,0.285330775129201,1,FALSE
"37","ABHD11",0.0886253810966686,0.927809626555997,FALSE,-0.605650659973916,1,FALSE
"38","ABHD12",-0.307475519978531,0.746351697812257,FALSE,-0.599908779590653,1,FALSE
"39","ABHD13",-0.152601250350696,0.831944263980136,FALSE,-0.587277816212775,1,FALSE
"40","ABHD14A",0.232618929426754,1,FALSE,-0.744034144129838,1,FALSE
"41","ABHD14B",0.457830525749297,0.784485861593549,FALSE,-0.657493266068382,1,FALSE
"42","ABHD15",0.351669750906102,0.540787058500281,FALSE,0.229468053693086,1,FALSE
"43","ABHD17A",0.151733152891902,0.818420804890874,FALSE,0.116611536432286,1,FALSE
"44","ABHD17B",-0.00297569450040154,0.893478875303855,FALSE,-0.0529745257295096,1,FALSE
"45","ABHD2",-0.143127203790469,0.967197431828965,FALSE,-0.184821159759393,1,FALSE
"46","ABHD3",0.247166287298835,0.671397686868222,FALSE,0.322075039468698,1,FALSE
